"state","population","household.size","race.pctblack","race.pctwhite","race.pctasian","race.pcthisp","age.pct12to21","age.pct12to29","age.pct16to24","age.pct65up","pct.urban","med.income","pct.wage.inc","pct.farmself.inc","pct.inv.inc","pct.socsec.inc","pct.pubasst.inc","pct.retire","med.family.inc","percap.inc","white.percap","black.percap","indian.percap","asian.percap","hisp.percap","pct.pop.underpov","pct.less9thgrade","pct.not.hsgrad","pct.bs.ormore","pct.unemployed","pct.employed","pct.employed.manuf","pct.employed.profserv","pct.occup.manuf","pct.occup.mgmtprof","male.pct.divorce","male.pct.nvrmarried","female.pct.divorce","total.pct.divorce","ave.people.per.fam","pct.fam2parents","pct.kids2parents","pct.youngkids2parents","pct.teens2parents","pct.workmom.youngkids","pct.workmom","num.kids.nvrmarried","pct.kids.nvrmarried","num.immig","pct.immig.recent","pct.immig.recent5","pct.immig.recent8","pct.immig.recent10","pct.pop.immig","pct.pop.immig5","pct.pop.immig8","pct.pop.immig10","pct.english.only","pct.no.english.well","pct.fam.hh.large","pct.occup.hh.large","ave.people.per.hh","ave.people.per.ownoccup.hh","ave.people.per.rented.hh","pct.people.ownoccup.hh","pct.people.dense.hh","pct.hh.less3br","med.num.br","pct.house.occup","pct.house.ownoccup","pct.house.vacant","pct.house.vacant.6moplus","med.yr.house.built","pct.house.nophone","pct.house.no.plumb","value.ownoccup.house.lowquart","value.ownoccup.med","value.ownoccup.highquart","ownoccup.qrange","rent.lowquart","rent.med","rent.highquart","rent.qrange","med.rent","med.rent.aspct.hhinc","med.owncost.aspct.hhinc.wmort","med.owncost.as.pct.hhinc.womort","num.in.shelters","num.homeless","pct.foreignborn","pct.born.samestate","pct.samehouse1985","pct.samecity1985","pct.samestate1985","land.area","pop.density","pct.use.publictransit","violentcrimes.perpop"
"FL",29721,2.34,3.52,95.13,1.03,1.7,10.52,18.8,9.27,22.59,100,32704,64.97,0.48,54.7,41.16,4.52,26.5,37695,18875,19228,8871,22920,23131,19684,6.72,4.72,15.77,26.17,4.21,51.11,8.61,27.27,7.13,37.67,8.39,22.21,11.99,10.31,2.75,76.18,74.95,86.68,78.71,62.3,70.28,276,1.18,1797,6.73,7.12,9.74,13.69,0.41,0.43,0.59,0.83,91.96,0.7,2.01,1.41,2.32,2.37,2.13,78.76,1.07,43.28,3,89.52,76.93,0.81,27.37,1975,1.73,0.08,71000,91500,128900,57900,335,449,576,241,544,28.3,21.8,12.7,0,0,6.05,22.65,46.85,70.75,77.44,26.1,1137.7,0.77,142.7
"CA",133107,2.53,1.45,72.98,21.86,10.07,11.6,25.37,11.61,10.78,100,47204,82.7,0.67,51.28,20.54,4.3,14.75,55678,22095,23111,23117,21263,19955,14736,5.15,3.85,12.38,31.23,3.95,67.04,25.49,18.92,6.72,37.65,9.77,32.32,13.42,11.64,3.04,79.26,77.43,92.28,78.84,57.54,66.06,1217,1.37,29516,22.23,32.19,43.13,51.23,4.93,7.14,9.56,11.36,72.79,5.83,4.13,2.82,2.51,2.7,2.27,60.49,6.41,52.31,2,95.79,56.29,1.56,16.65,1961,1.2,0.27,272900,340000,420200,147300,610,740,935,325,795,26.9,23.1,11.2,0,18,22.17,41.72,49.81,82.48,85.95,21.3,6260.9,1.53,620.53
"CA",66072,2.59,3.64,82.76,6.32,24.12,11.09,27.2,12.24,10.46,100,42962,81.45,0.5,49.19,21.07,5.3,14.76,49851,20292,21670,12013,10809,19598,9950,8.3,8.12,18.45,27.09,3.82,69.14,16.31,21.5,10.24,29.66,11.56,35,15.3,13.43,3.08,72.39,69.83,83.7,74.85,70.99,73.54,1394,3.48,15722,18.78,29.78,41.39,51.48,4.47,7.09,9.85,12.25,69.2,7.86,7.25,4.67,2.52,2.54,2.51,51.04,10.47,61.71,2,94.96,50.78,0.59,15.81,1961,1.85,0.58,274700,349500,442200,167500,558,670,883,325,728,28.6,28.2,12,91,125,23.8,50.11,46.52,77.2,88.9,19.7,3349.1,3.85,726.59
"FL",10205,2.46,1.06,97.38,1.04,1.79,9.62,18.03,7.64,23.89,0,26654,63.11,0.41,40.44,45.95,3.65,31.45,29464,12165,12077,4231,13612,17931,9763,6.77,7.04,26.53,9.91,5.66,48.43,8.22,19.42,13.47,20.69,8.33,15.28,9.77,9.08,2.74,80.47,75.83,89.36,82,62.3,69.76,145,1.68,559,2.5,5.72,10.2,17.35,0.14,0.31,0.56,0.95,94.06,0.44,2.39,1.91,2.46,2.37,2.89,79.15,1.88,52.66,2,89.87,82.22,0.21,25.05,1984,3.16,0.2,56300,68700,87100,30800,394,449,508,114,557,25.8,22.2,11.5,0,0,5.5,22.88,32.16,52.33,71.28,13,785.2,0,339.96
"CA",60394,2.75,3.83,79.59,4.42,18.96,14.97,27.56,13.53,10.33,100,37073,79.04,0.7,43.96,22.9,7.29,18.12,43200,17825,19791,11465,13749,13588,9402,8.98,5.71,15.38,31.26,4.78,63.25,9.58,34.83,8.49,37.1,9.38,29.86,14.38,12.03,3.19,75.19,72.29,82.51,78.27,55.46,64.88,1032,2.24,6289,17.3,28.84,40.93,47.86,1.8,3,4.26,4.98,82.36,3.07,6.32,4.45,2.65,2.79,2.45,62.36,5.37,44.97,3,94.81,59.24,1.16,19.35,1971,2.5,0.09,107200,144300,193400,86200,434,527,640,206,588,26.9,23.5,11.5,92,26,10.41,47.86,40.05,70.44,83.84,25.2,2398.1,0.37,727.83
"CA",23229,3.42,11.49,77.75,6.04,10.46,12.28,31.36,14.01,3.15,100,53710,91.86,0.9,48.86,11.54,4.19,11.37,55924,17056,19305,5883,9684,16258,10668,4.23,1.9,14.13,24.07,3.52,59.36,14.86,16.05,7.69,30.94,13.11,38.1,14.43,13.69,3.2,82.44,80.04,90.2,82.85,66.41,72.22,1030,6.51,1928,7.94,14.83,25.99,32.57,0.66,1.23,2.16,2.7,86.56,1.48,5.32,4.13,2.86,2.96,2.69,67.22,2.59,26.14,3,97.28,65.13,0,11.05,1972,0.6,0.09,207500,240900,304200,96700,702,811,931,229,884,26.5,26.6,12.3,0,0,8.3,55.25,37.34,59.44,85.53,8.9,2618.2,2.12,251.23
"CA",32873,2.69,1.08,86.96,6.22,15.45,13.3,27.95,13.44,8.62,100,51253,86.4,0.36,49.51,18.84,3.54,13.79,58187,21407,22025,18108,17265,18521,14209,3.55,4.6,12.59,30.99,3.31,72.58,21.6,21.65,8.8,36.82,8.96,31.27,12.71,10.85,3.15,82.69,79.27,90.91,83.82,58.41,69.6,266,1.23,4092,14.78,24.07,33.87,39.98,1.84,3,4.22,4.98,83.1,3.36,5.72,4.16,2.68,2.91,2.28,68.99,5.15,45.05,3,96.65,63.51,3.3,16.51,1974,1.28,0.21,205000,264000,332600,127600,602,701,870,268,749,26.8,23.6,10.8,5,0,12.45,49.29,48.98,75.79,90.35,10.3,3178,0.75,367.33
"FL",124773,2.47,29.09,68.24,1.75,3,23.68,42.67,28.84,7.94,100,23453,85.3,0.67,38.24,17.18,4.59,11.89,34764,13247,15763,7676,11546,10151,9096,22.32,5.59,14.48,40.72,5.56,63.45,3.6,33.42,6.23,37.49,9.32,48.87,13.45,11.51,2.93,61.16,57.44,70.74,62.15,72.28,78.45,5233,7.88,5615,24.42,32.56,43.94,52.06,1.1,1.47,1.98,2.34,92.68,0.85,3.55,1.92,2.26,2.48,2.08,49.61,4.27,58.18,2,91.35,45.17,2.24,16.91,1974,3.43,0.27,52100,72400,99000,46900,265,353,449,184,444,31.2,19.4,12.8,148,30,4.5,48.67,34.91,58.18,81.03,65.6,1903.4,2.82,1981.45
"CA",39802,2.8,1.26,77.47,3.07,26.16,13.77,26.89,12.18,9.84,0,31671,78.68,1.64,37.06,22.64,10.34,13.9,36935,13854,15269,8174,12921,9945,9389,9.59,10.84,23.84,17.03,7.85,64.24,11.76,26.08,15.54,22.7,10.75,26.88,15.27,13.1,3.2,72.38,68.95,80.12,77.49,65.31,74.67,772,2.55,4230,13.24,20.95,28.72,36.78,1.41,2.23,3.05,3.91,77.93,5.43,6.49,4.78,2.75,2.81,2.66,58.53,9.71,48,3,95.82,57.19,1.94,23.87,1972,4.04,0.36,101200,131300,164100,62900,350,431,514,164,484,26.1,21.8,11.4,57,5,10.63,60.72,43.89,76.24,90.8,9.5,4187.9,0.6,574.24
"CA",3485398,2.86,13.99,52.83,9.81,39.92,14.46,31.22,15.72,8.96,100,30925,78.71,0.61,33.34,19.53,10.68,10.5,34364,16188,22191,11257,12901,13875,7111,18.86,18.4,33,22.96,8.34,61.71,18.43,21.42,15.86,27.29,9.92,43.23,14.61,12.26,3.48,65.54,59.78,74.48,69.13,54.81,60.83,212238,9.32,1336665,20.75,32.13,43.01,56.44,7.96,12.32,16.49,21.64,50.09,17.45,14.44,9.19,2.8,2.87,2.76,40.31,22.26,72.02,2,93.65,39.42,2.93,21.03,1959,4.11,0.98,164100,244500,388400,224300,413,544,709,296,600,30.4,25.3,11.9,4597,3109,38.35,35.47,46.34,81.86,85,486.2,7168.1,10.92,2414.77
"CA",38901,3.66,23.47,52.73,13.48,17.45,20.34,40.78,24.43,5.07,100,28655,86.62,0.29,29.32,16.71,7.86,16.08,30218,10409,11524,10092,10269,8754,7353,12.22,9.54,22.08,14.69,4.37,74.2,6.04,23.32,8.43,18.22,8.48,43.95,13.7,10.62,3.44,76.63,71.38,83.38,81.63,51.79,64.03,1139,5.13,6949,23.83,35.56,44.09,55.69,4.26,6.35,7.88,9.95,73.99,5.54,10.2,8.13,3.1,2.78,3.3,34.08,14.61,54.14,2,94.69,37.99,2.18,12.56,1963,2.85,0.64,116800,150100,186200,69400,458,565,681,223,630,29.7,24.7,12.3,21,2,17.87,30.34,29.96,49.89,57.18,9.1,4254.3,3.56,1085.11
"FL",13024,2.25,31.3,67.17,0.5,6.09,9.62,20.98,9.8,19.56,100,23269,69.71,0.9,35.81,36.36,6.41,13.41,26628,13006,15955,7066,14581,6469,7267,20.64,13.67,39.4,11.76,8.89,53.53,7.47,21.68,12.04,21.68,16.81,32.88,16.73,16.77,2.83,49.89,42.44,53.59,42.01,62.84,62.39,893,8.51,1783,11.61,17.67,30.79,37.58,1.59,2.42,4.22,5.14,81.87,2.64,4.68,2.64,2.19,2.1,2.29,53.61,8.7,81.08,2,75.26,55.75,4.41,42.52,1971,8.39,0.53,60600,84500,117300,56700,306,396,498,192,484,28.3,26.2,13,15,1,13.69,29.41,49.25,80.62,85.68,5.3,2442.6,2.28,2649.8
"CA",28176,2.51,3.23,73.48,21.98,5.77,11.65,26.23,11.54,6.49,100,60462,89.78,0.98,59.72,11.31,2.07,11.54,66991,28399,30694,24563,28303,21756,22960,2.95,1.67,4.96,46.69,3.4,76.17,13.11,19.41,4.32,42.67,10,32.2,13.35,11.7,3.01,82.87,82.17,95.71,83.86,68.43,72.33,128,0.84,6342,18.83,27.59,35.3,42.83,4.24,6.21,7.95,9.64,74.62,3.38,3.69,2.48,2.5,2.75,2.14,66,3.02,48.93,3,95.43,60.12,0.19,10.24,1975,0,0.34,329500,411700,494300,164800,784,947,1001,217,969,24.4,27.1,11.7,0,0,22.51,41.41,42.19,67.9,81.19,3.9,7232,3.93,185.69
"CA",23451,3.37,42.94,31.69,9.6,36.36,16.11,33.41,16.36,5.26,100,29206,84.81,0.43,24.67,18.14,16.44,11.1,31319,9968,11102,10211,9729,10094,6391,17.55,21.02,39.39,15.6,10.6,61.09,19.8,27.79,15.12,19.75,11.75,45.54,18.11,14.87,4.01,56.09,50.69,68.36,69.39,68.06,70.88,1825,10.41,7038,20.69,37.48,49.77,61.86,6.21,11.25,14.94,18.57,59.43,14.8,22.89,15.6,3.31,3.57,3.12,45.01,27.9,69.46,2,94.59,41.71,10.3,37.44,1958,4.77,0.49,129200,159700,190200,61000,431,532,643,212,586,30.4,24.3,12.9,57,64,30.01,41.26,49.67,74.38,87.8,2.6,8883,8.38,2344.56
"FL",280015,2.44,25.05,70.9,1.35,15,13,27.51,13.44,13.15,100,22772,75.21,0.42,32.56,28.72,9.46,14.7,27662,13277,15785,6841,10172,10037,10142,19.44,11.47,29.37,18.7,6.54,60.13,9.91,23.42,13.4,25.73,15.01,34.1,18.14,16.66,3.01,58.62,51.4,63.27,60.73,63.78,70.03,15174,7.25,22291,8.89,15.67,22.85,35.71,0.71,1.25,1.82,2.84,82.17,3.17,5.15,3.13,2.35,2.46,2.22,57.93,6.03,59.72,2,88.52,55.46,5.31,31.03,1963,10.12,0.71,43000,59000,86800,43800,236,334,416,180,408,27.2,21.9,13,423,140,7.96,44.91,47.85,77.94,84.29,112.6,2487.1,3.3,3235.45
"CA",38793,2.4,10.38,69.22,12.04,19.76,10.37,24.22,11.12,11.95,100,42971,80.82,0.84,51.46,21.08,4.22,13.44,50411,21471,22991,21042,14565,19631,11855,6.68,6.29,15.85,35.03,4.13,67.93,13.71,29.99,7.23,39.76,11.37,36.05,16.73,14.22,2.98,69.39,67.27,82.6,65.9,57.4,67.12,772,3.27,9121,12.51,19.23,29,39.09,2.94,4.52,6.82,9.19,69.72,5.4,5.11,3.09,2.34,2.37,2.3,56.33,8.5,69.76,2,95.41,55.53,3.99,20.72,1958,0.59,0.44,262800,328900,386100,123300,566,730,932,366,788,28.5,24,11.4,84,0,23.51,39.89,53.61,87.45,90.5,5.3,7336,4.33,932.05
"CA",87425,2.67,43.76,36.18,11.83,14.52,13.22,26.57,12.67,10.49,100,32165,76.1,0.48,33.3,23.99,15.69,17.29,36657,14630,20133,11156,11167,13797,10696,16.1,9.43,23.31,22.15,9.43,58.46,11.16,26.97,12.34,27.63,13.3,36.25,18.5,16.07,3.22,54.71,49.56,64.48,57.97,60.93,67.87,5014,7.61,13613,14.69,25.29,35.8,49.9,2.29,3.94,5.57,7.77,77.6,5,8.56,5.77,2.63,2.68,2.58,55.41,9.88,60.13,2,94.84,54.47,9.87,26.02,1957,3.37,0.66,101200,144300,194000,92800,371,506,645,274,566,29.6,24.3,12.1,186,130,15.57,50.88,51.11,74.41,91.6,30.8,2838.8,13.14,3239.2
"CA",96357,2.57,1.33,84.31,6.56,20.05,12.14,33.06,15.62,7.44,100,40313,86.31,0.71,40.97,15.87,4.31,10.28,45266,18750,20021,17796,12403,14690,8682,9.17,7.4,16.52,27.26,4.17,74.47,19.19,19.72,9.72,30.69,12.48,42.3,17.63,15,3.08,71.03,67.31,84.89,70.11,65.53,70.72,1706,3.12,20787,21.97,35.55,46.07,58.33,4.74,7.67,9.94,12.58,73.97,8.08,8.6,5.1,2.51,2.6,2.45,41.65,9.87,62.61,2,94.59,40.17,0.7,6.86,1968,1.62,0.5,211300,257000,313900,102600,651,759,921,270,810,28.6,24.3,11.3,225,26,21.57,42.58,38.03,73.97,83.94,16.1,5980.4,3.03,448.84
"CA",11676,2.84,3,84.87,7.18,12.5,13.9,30.28,14.04,8.7,100,45171,85.19,0.9,48.9,18.88,2.3,15.78,47353,19361,19841,11200,21284,20012,13766,4.38,5.09,14.1,29.3,4.24,68.04,16.72,24.11,9.11,35.41,10.67,33.88,15.95,13.42,3.14,72.58,72.9,89.54,81.26,57.82,68.55,159,2.07,1422,8.58,16.88,30.03,34.53,1.04,2.06,3.66,4.21,82.39,1.42,5.56,3.99,2.74,2.82,2.68,44.41,5.81,52.98,2,96.12,43.23,3.01,12.65,1967,0.8,0.37,237300,296400,371700,134400,670,780,920,250,829,26.4,20.3,11.4,23,0,12.18,44.84,44.21,61.48,83,4.2,2798.7,0.15,356.17
"CA",12363,2.57,0.56,91.22,1.06,8.95,13.44,26.6,12.16,14.06,0,19474,64.92,0.66,28.95,29.57,20.02,15.89,22114,9997,10369,3440,8018,7699,6391,20.41,8.65,21.66,10.49,9.88,48.71,21.15,20.09,20.23,17.96,12.78,25.98,19.16,16.23,3.04,63.66,60.99,63.12,69.92,42.35,53.18,353,3.38,642,16.36,24.77,32.09,46.73,0.85,1.29,1.67,2.43,91.86,2.75,4.93,3.37,2.47,2.51,2.43,50.99,6.61,59.28,2,95.06,50.21,0.4,33.6,1967,4.53,0.4,49900,59700,74600,24700,224,291,356,132,356,28.4,21.9,13,31,6,5.19,62.02,43.85,71.77,90.59,7.5,1641.4,0,981.2
"CA",47564,3.04,17.58,58.6,12.18,23.73,13.97,29.12,13.19,7.12,100,38532,82.87,0.61,31.39,20.03,12.03,14.42,41512,13686,15469,10521,10818,13750,10286,10.79,10.56,23.51,14.35,7,64.56,14.11,18.47,13.94,20.46,10.58,31.2,14.28,12.46,3.44,71.49,66.23,80.69,76.1,59.39,65.81,1742,5.04,8899,19.11,29.16,41.56,51.55,3.58,5.46,7.77,9.64,71.46,6.29,10.13,7.74,3.02,3.11,2.88,63.21,11.08,43.52,3,93.62,61.4,6.85,13.7,1975,3.61,0.57,106700,138900,165800,59100,409,566,675,266,622,27.1,25.9,12.9,130,33,18.71,53.33,44.42,75.07,88.89,11.3,4222.7,4.53,868.12
"CA",72820,2.89,0.93,90.3,6.25,7.71,14.31,24.75,11.58,7.47,100,61058,87.49,0.49,56.07,15.65,1.79,13.66,64690,24160,24844,19738,18175,18151,17938,1.96,1.38,6.33,39.1,2.9,72.49,18.78,22.33,5.18,39.89,7,25.83,10.77,8.93,3.2,85.98,85.36,94.05,87.05,55.4,65.83,285,0.63,9128,12.71,18.42,30.12,38.21,1.59,2.31,3.78,4.79,85.41,1.73,4.61,3.75,2.88,2.93,2.69,81.35,2.89,30.22,3,95.38,80,0.08,24.77,1978,0.22,0.28,211200,254500,323000,111800,719,916,1001,282,969,30.1,27.2,11.8,0,0,12.54,41.58,41.92,72.76,83.65,18.1,4027.7,0.62,225.56
"CA",429433,2.7,13.68,58.38,13.57,23.62,13.82,31.13,15.56,9.56,100,31938,77.65,0.52,35.44,21.04,11.35,13.73,36305,15639,20334,10518,12658,9544,7758,16.82,11.53,24.49,23.22,6.54,62.93,20.42,22.77,13.21,28.85,11.64,41.43,15.94,13.78,3.36,64.25,60.26,71.53,67.31,50.26,57.56,20207,7.4,104150,19.87,31.62,45.72,61.08,4.82,7.67,11.09,14.81,67.24,9.81,11.98,7.18,2.61,2.55,2.65,40.03,16.49,74.38,2,93.3,40.96,3.39,16.67,1955,4.28,0.73,168700,222900,292600,123900,435,551,694,259,605,30,25.1,11.4,394,66,24.25,40.92,40.38,77.16,84.29,51.8,8287.7,6.3,1631.98
