"Name","State","Schooltype","All.test.std","App.accept","Acc.Rate","Pct.Yield","Total.students","Student.Faculty","Grad.rate","Pct.fac.degree","In.Tuition","Room.board"
"Northern Arizona University","AZ",1,-0.234867104,4931,83.70395519,40.01216792,13931,21.7,41,83,1828,3728
"University of Arizona","AZ",1,0.130032865,12238,86.9237872,37.00768099,26558,19.6,49,95,1828,4216
"Biola University","CA",2,-0.231003829,896,80.1431127,51.22767857,2169,16.6,36,67,11388,4546
"California Baptist College","CA",2,-1.217532034,262,85.06493506,59.92366412,705,13,43,63,6370,3894
"California Institute of Technology","CA",2,3.280065818,507,26.46137787,41.42011834,912,6.5,83,100,16695,5051
"California Lutheran University","CA",2,-0.46068917,247,43.87211368,100,1859,12.4,60,74,12950,5300
"California State Univ. at Fullerton","CA",1,-0.692485675,4480,74.61692205,32.8125,18828,19.9,56,93,1606,3476
"California Polytechnic-San Luis","CA",1,-0.186396639,3817,48.86698246,43.22766571,14315,19.8,59,81,2033,4877
"California Poly-Pomona","CA",1,-0.776373022,3887,65.38267452,40.28813995,15204,18.5,50,76,2719.26959889109,4862
"Humboldt State University","CA",1,-0.169191428,2190,63.16700317,25.79908676,6315,16.4,65,82,1599,4200
"California State University at Sacramento","CA",1,-0.784099572,3026,69.59521619,40.77990747,21885,19.2,47,79,1716,4500
"San Diego State University","CA",1,-0.964667042,7020,74.6649649,30.64102564,21957,19.5,41,93,1742,5110
"California State University at Northridge","CA",1,-1.321840461,5331,69.48644421,40.46145189,23111,20.3,43,83,1440,5500
"San Francisco State University","CA",1,-1.294797535,3539,65.71959146,35.57502119,19102,17.4,55,77,1584,6776
"San Jose State University","CA",1,-1.209805483,4094,78.57965451,34.68490474,21655,17.4,46,74,1976,4224
"Sonoma State University","CA",1,-0.122832127,982,36.02347762,56.7209776,5498,16.1,40,86,4881.81149025912,5189
"United States International University","CA",2,-0.989598804,168,52.17391304,30.35714286,304,15.7,23,90,11760,4225
"Chapman University","CA",2,-0.165328153,771,80.39624609,45.52529183,1871,12.8,47,80,16624,5895
"Claremont McKenna College","CA",2,2.21337214,767,41.23655914,29.5958279,888,9.6,87,99,17000,6010
"Harvey Mudd College","CA",2,2.971003811,572,41.53957879,31.11888112,659,8.2,100,100,17230,6690
"Pitzer College","CA",2,1.3599474,630,55.60458959,34.92063492,780,10.4,73,100,17688,5900
"Pomona College","CA",2,3.068548992,1130,37.20777083,34.51327434,1500,8.9,91,98,17720,7220
"Scripps College","CA",2,1.3599474,632,73.91812865,21.99367089,576,8.2,73,100,17238,7350
"College of Notre Dame","CA",2,-0.853638524,264,76.74418605,36.74242424,831,10.4,43,80,12600,5520
"Holy Names College","CA",2,-0.67592787,157,60.85271318,27.38853503,590,7.8,44,75,11480,5280
"Dominican College of San Rafael","CA",2,-0.784099572,173,81.22065728,43.35260116,798,11.6,50,63,12790,6100
"La Sierra University","CA",2,-0.821725864,530,80.42488619,61.32075472,1335,12.6,49,76,12180,3885
"University of La Verne","CA",2,-0.373945007,969,60.676268,23.32301342,2953,14.1,47,68,13540,5050
"Mills College","CA",2,0.778704026,414,78.26086957,31.88405797,824,10.3,64,99,14100,6000
"Mount St. Marys College","CA",2,-0.302294892,537,81.73515982,21.04283054,1505,11.9,72,71,12474,5678
"Occidental College","CA",2,0.730304261,1319,56.7555938,28.05155421,1721,10.5,79,93,16560,5140
"Pacific Christian College","CA",2,-0.385534832,142,85.02994012,62.67605634,579,10.7,67,38,6500,3000
"Fresno Pacific College","CA",2,0.031698877,274,79.19075145,53.28467153,767,10.5,54,59,9900,3670
"Pacific Union College","CA",2,-0.110594895,668,71.06382979,57.63473054,1455,12.3,69,87,11925,3825
"Point Loma Nazarene College","CA",2,-0.592040523,687,84.91965389,62.29985444,2106,16.1,54,71,10176,4190
"Pepperdine University","CA",2,0.968004505,2037,53.31065166,33.38242514,3113,11.6,66,98,18200,6770
"Southern California College","CA",2,-0.545681222,340,88.31168831,56.76470588,911,18.6,43,65,9520,4124
"St. Marys College of California","CA",2,0.359429853,1611,60.95346198,28.86405959,2863,16.1,78,89,13332,6354
"Stanford University","CA",2,3.304208772,2926,21.50205761,55.22898154,6573,9.7,96,99,18669,6795
"University of California at Berkeley","CA",1,1.796568185,8252,41.52367534,38.96025206,21593,15.8,78,97,3949,6246
"University of California at Davis","CA",1,0.661053663,11399,69.74851618,27.4059128,17317,14.5,76,98,6201.37511205506,5285
"University of California at Irvine","CA",1,0.336250202,10775,68.63931711,22.99767981,13541,16.1,66,96,4325,5302
"University of California at Los Angeles","CA",1,1.201623822,10435,47.07872772,34.41303306,22892,11.8,77,99,6698.82968960853,5580
"University of California at Riverside","CA",1,0.12616959,7566,77.21984078,19.42902458,7187,13.4,62,99,6540.13729437203,5430
"University of California at San Diego","CA",1,1.286545173,11469,59.01816498,21.632226,14449,13.9,66,100,7733.22803916861,6607
"University of California at Santa Barbara","CA",1,0.158539549,14141,84.86467023,22.90502793,16331,18.9,69,100,5334.77755733566,5990
"University of California at Santa Cruz","CA",1,0.568046708,8559,79.55939766,20.06075476,9320,21.3,59,100,6479.26664865658,6081
"University of Redlands","CA",2,0.382609503,1219,81.37516689,25.10254307,2956,8.9,73,87,16530,6205
"University of San Francisco","CA",2,-0.282978516,1721,74.63139636,31.26089483,4858,13.6,62,86,13226,6452
"Santa Clara University","CA",2,0.614406009,2779,69.14655387,31.95394027,4019,13.9,100,92,13584,5928
"University of Southern California","CA",2,0.933235029,8498,69.49055524,29.14803483,14688,11.4,68,94,17230,6482
"University of the Pacific","CA",2,-0.080983507,1997,81.21187475,29.14371557,2963,11.2,65,94,16320,5326
"Westmont College","CA",1,0.587651436,713,75.05263158,49.2286115,1285,14.9,87,77,14320,5304
"Whittier College","CA",2,-0.189155209,1069,63.59309935,32.17960711,1265,13.6,52,92,16249,5699
"Woodbury University","CA",2,-1.07670202,313,89.68481375,35.46325879,956,13.5,54,60,13020,5490
"University of Judaism","CA",2,0.421242254,36,69.23076923,50,100,7.2,55,100,10560,6200
"California State Univ. at Bakersfield","CA",1,-0.804520653,643,68.33156217,64.54121306,3834,13.4,24,94,1204,3475
"University of San Diego","CA",2,0.405789154,2735,69.5221149,32.39488117,3915,15.6,66,96,13600,5940
"Thomas Aquinas College","CA",2,1.441146877,87,69.6,77.01149425,208,10.9,71,68,13400,5200
"Loyola Marymount University","CA",2,0.374882953,2662,70.64755839,28.28700225,3994,14.2,84,88,13592,5916
"Concordia University","CA",2,-0.366218457,497,72.23837209,28.97384306,742,13.1,55,60,10800,4440
"Adams State College","CO",1,-0.500426626,1259,83.48806366,45.19459889,2154,27.9,60,67,1386,3730
"Colorado College","CO",2,1.502959278,1577,49.17368257,31.07165504,1899,11.3,84,97,17142,4190
"University of Northern Colorado","CO",1,-0.308269331,4007,72.45931284,42.35088595,9961,21.5,40,75,1829,4128
"Colorado State University","CO",1,0.678258874,6312,66.59632834,34.75918885,17475,19.2,59,89,2124,4180
"Mesa State College","CO",1,-0.964667042,1456,91.91919192,61.19505495,4382,28.8,59,48,1434,3798
"Metropolitan State College","CO",1,-0.949213942,2975,84.7095672,55.86554622,17721,21.1,25,73,1494,3897.26367215654
"Regis University","CO",2,-0.273499855,904,81.66214995,34.07079646,1169,14.8,53,90,12700,5480
"University of Southern Colorado","CO",1,-0.744460362,1239,88.43683084,48.82970137,4391,19.4,36,88,1644,4380
"University of Colorado at Boulder","CO",1,0.537140507,9320,66.27319918,36.86695279,20006,19.9,66,90,2230,3811
"University of Denver","CO",2,0.429257157,2001,67.28312038,28.98550725,3220,15.9,67,91,15192,4695
"Western State College of Colorado","CO",1,-0.619083449,1623,60.06661732,37.21503389,2461,19.4,52,79,1819,3755
"University of Colorado at Denver","CO",1,0.222751467,562,46.87239366,46.44128114,6533,18.1,24,96,1828,3915.58622317917
"Albertus Magnus College","CT",2,-0.229251718,340,96.31728045,30.29411765,646,11.5,63,93,13290,5720
"Central Connecticut State University","CT",1,-0.884544725,2532,60.89466089,35.62401264,10275,16.7,49,73,1842,4444
"Connecticut College","CT",2,1.460463252,1546,50.93904448,28.33117723,1862,10.7,91,95,18740,6300
"Fairfield University","CT",2,0.809610227,3346,69.94147157,23.34130305,4021,15.1,94,90,15000,6200
"University of New Haven","CT",2,-0.436404815,1412,85.52392489,23.79603399,3325,15.6,79,90,10600,5020
"Quinnipiac College","CT",2,-0.003718005,2153,58.00107759,37.43613562,3391,12,86,73,12030,6140
"Sacred Heart University","CT",2,-0.66047477,1896,82.1846554,26.84599156,3596,14.8,82,73,11070,5780
"Southern Connecticut State University","CT",1,-1.201333282,2652,68.84735202,39.36651584,8370,15.8,45,73,1842,4796
"Saint Joseph College","CT",2,-0.544576517,241,82.53424658,39.8340249,1255,11.2,76,90,12200,4600
"Trinity College","CT",2,1.502959278,1798,58.79659908,26.58509455,1981,10.4,91,96,18810,5690
"University of Bridgeport","CT",2,-0.575482718,441,73.7458194,34.69387755,839,7.9,51,82,12500,6810
"University of Hartford","CT",2,-0.173702109,4040,79.5119071,29.55445545,5183,10.7,66,76,14220,6000
"Wesleyan University","CT",2,2.446920757,1973,41.34534786,36.08717689,2741,12.1,92,94,19130,5600
"Eastern Connecticut State University","CT",1,-1.008169527,1493,68.73848987,37.77628935,4297,16.9,50,76,1842,4316
"Yale University","CT",2,2.855105558,2453,22.91452592,53.68935997,5300,5.8,99,96,19840,6510
"University of Connecticut at Storrs","CT",1,0.359429853,7187,73.82639959,28.71851955,14138,16,71,95,3824,5072
"American University","DC",2,1.13981142,3587,77.75850856,29.21661556,5418,13.6,69,93,15934,6400
"Catholic University of America","DC",2,0.614406009,1465,83.52337514,34.47098976,2370,9.3,75,96,13712,6408
"George Washington University","DC",2,1.155264521,5062,64.27936508,29.474516,6941,7.6,72,93,17450,6328
"Georgetown University","DC",2,1.966552289,2881,25.91992803,48.24713641,6287,7.2,95,92,18300,7131
"Howard University","DC",2,-0.841042239,3164,32.36497545,52.65486726,7579,7.5,46,86,7128,3750
"Trinity College","DC",2,-0.192371078,189,76.51821862,52.91005291,948,8.3,96,93,11412,6430
"Goldey Beacom College","DE",2,-0.575482718,468,73.93364929,60.68376068,1786,27.6,36,25,6120,2985
"University of Delaware","DE",2,0.382609503,10516,72.79523744,30.92430582,18652,18.3,75,87,3690,4230
"Wesley College","DE",2,-1.433129787,807,82.34693878,43.37050805,1320,14.4,84,57,9890,4674
"Barry University","FL",2,-0.775366563,784,79.19191919,35.58673469,4955,12.6,72,78,11290,5360
"Bethune Cookman College","FL",2,-2.037939409,1150,69.86634265,47.13043478,2210,13.8,58,48,5188,3396
"St. Thomas University","FL",2,-1.240711684,370,75.20325203,63.78378378,1607,23.2,33,59,9600,4600
"Florida Institute of Technology","FL",2,0.853929064,1580,81.15048793,33.10126582,2096,10.6,57,90,13900,4140
"Embry Riddle Aeronautical University","FL",2,0.562360621,2584,82.00571247,37.07430341,5628,16.5,44,43,7800,3750
"Florida Atlantic University","FL",1,-0.037840075,2089,65.67117259,39.54044998,12449,15.6,48,94,1800,4060
"Eckerd College","FL",2,0.879149178,1109,77.98874824,33.00270514,1386,12.8,59,89,15360,4080
"Florida Southern College","FL",2,-0.144259666,1040,75.30774801,35.96153846,2476,17.4,68,74,8025,4865
"Florida State University","FL",1,0.730304261,8683,74.52579178,34.81515605,22148,23.1,58,89,1780,4060
"Lynn University","FL",2,-0.619083449,956,73.99380805,32.94979079,1450,19,65,69,13900,5600
"Nova Southeastern University","FL",2,-0.621842019,770,75.12195122,33.37662338,3113,20.4,23,88,8550,4740
"Rollins College","FL",2,0.813473502,1151,64.77208779,33.18853171,2720,13.3,90,85,16425,5220
"Stetson University","FL",2,0.189445749,1227,78.80539499,39.85330073,2045,12.5,73,90,12315,4565
"University of Florida","FL",1,1.155264521,8836,71.00040177,41.00271616,27756,13.4,66,97,1820,4180
"University of Miami","FL",2,0.575773258,5386,75.62482449,30.505013,8636,5.9,59,94,16500,6526
"University of South Florida","FL",1,0.36955592,4676,61.61549611,40.11976048,25732,17,47,89,1856,3776
"Webber College","FL",2,-1.134651146,143,51.07142857,55.24475524,437,15.1,90,63,5590,2900
"University of Central Florida","FL",1,0.184118716,2959,42.35614085,64.81919567,19482,22.2,46,98,1716,4234
"University of West Florida","FL",1,-0.200097628,1254,80.48780488,37.63955343,6231,23.4,53,87,1597,3994
"Flagler College","FL",2,0.153212515,714,50.45936396,47.33893557,1389,18.1,69,60,5120,3200
"Warner Southern College","FL",2,-1.89324612,280,70,47.85714286,459,14.4,42,53,6200,3270
"Palm Beach Atlantic College","FL",2,-0.398876769,625,85.73388203,55.84,1766,19,38,74,7900,3400
"Florida International University","FL",1,0.269110768,2079,62.88566243,51.51515152,19518,13.9,66,96,1695,2494
"University of North Florida","FL",1,0.066468353,1253,69.61111111,44.69273743,7464,17.8,47,85,1732,4360
"Agnes Scott College","GA",2,0.768937012,349,83.69304556,39.25501433,573,7.7,59,97,12960,5450
"Armstrong State College","GA",1,-0.606388918,1835,83.94327539,68.82833787,5187,10.5,88,55,2028,4192
"Clark Atlanta University","GA",2,-1.341156836,2497,55.46423812,31.63796556,2932,14.9,53,63,7908,4238
"Augusta College","GA",1,-1.14724743,1158,79.75206612,75.12953368,4727,18.9,38,68,1422,3130.07907374795
"Berry College","GA",2,0.382609503,1221,65.71582347,39.31203931,1669,16.3,63,80,8050,3940
"Brenau University","GA",2,-0.428678264,274,74.65940054,57.66423358,1396,13.7,49,80,9592,5879
"Brewton-Parker College","GA",2,-1.695832492,1228,85.51532033,97.88273616,2142,12.6,18,62,4371,2370
"Columbus College","GA",1,-0.737740271,1050,77.89317507,73.71428571,4609,16.5,32,70,1381,3375
"Emory University","GA",2,2.020208386,4168,49.00070538,29.65451056,5736,5,96,98,17600,6000
"Georgia Institute of Technology","GA",1,1.966552289,4527,57.76445068,50.27612105,9182,19.3,70,92,1899,4438
"Southern College of Technology","GA",1,-0.231003829,503,77.14723926,59.04572565,3512,17.3,36,63,1341,3219
"Georgia Southern University","GA",1,-1.093161579,5423,64.65188364,55.94689286,12411,19.7,46,66,1808,2987
"Georgia Southwestern College","GA",1,-0.968530317,716,83.25581395,46.08938547,2176,18.1,26,85,1578,2415
"Georgia State University","GA",1,-0.737740271,2341,61.71895597,52.88338317,16786,19,34,89,2154,2655
"Kennesaw State College","GA",1,-0.590935818,1824,75.9367194,63.65131579,10994,19.8,21,76,1422,3428.56423820048
"LaGrange College","GA",2,-1.58766079,399,73.34558824,44.36090226,963,12.5,75,83,6987,3585
"Mercer University","GA",2,0.398350957,1668,72.96587927,33.81294964,4203,9.2,91,95,11985,4081
"Morehouse College","GA",2,0.491069559,1678,45.25350593,43.02741359,3005,17.8,83,74,7050,5490
"Morris Brown College","GA",2,-1.163446182,1500,23.41189324,39.66666667,1877,15.7,21,62,6770,4438
"Oglethorpe University","GA",2,1.435101737,649,81.94444444,28.65947612,1146,13.1,67,95,12900,4340
"Paine College","GA",2,-2.669377814,636,48.10892587,35.37735849,686,10.9,27,48,5460,2814
"Piedmont College","GA",2,-0.266420711,562,84.76621418,22.59786477,704,13.2,31,89,5640,3620
"Savannah State College","GA",1,-2.0979997,1448,85.07638073,50.13812155,3198,19,48,61,1800,2145
"Shorter College","GA",2,-0.274147261,445,82.40740741,37.07865169,1226,13.2,58,65,7210,3600
"Spelman College","GA",2,0.203435091,1237,33.3153784,35.81244947,2078,12.5,65,80,7000,5565
"University of Georgia","GA",1,0.776663562,7871,70.15151515,42.180155,22301,14.7,63,95,1899,3600
"Valdosta State University","GA",1,-0.808383928,3247,88.37778987,48.84508777,7400,20,45,70,1770,2940
"Wesleyan College","GA",2,0.245931117,287,94.09836066,37.97909408,428,7.6,52,77,11500,4500
"West Georgia College","GA",1,-0.907724375,2604,70.99236641,51.11367127,5717,19.2,40,62,1806,2973
"Georgia College","GA",1,-1.314113911,1788,95.71734475,46.36465324,4634,21.4,52,70,1694,2739
"Covenant College","GA",2,0.576061611,317,77.88697789,57.0977918,499,19,56,75,9700,3744
"Savannah Coll. of Art and Design","GA",2,0.215024917,688,62.03787196,56.10465116,2105,16.1,55,98,8325,5000
"University of Hawaii at Manoa","HI",1,-0.057803856,2603,72.70949721,62.50480215,13439,11.8,54,87,1460,3038
"University of Hawaii at Hilo","HI",1,-1.046802278,779,51.96797865,64.18485237,2953,15.8,31,80,480,4270
"Briar Cliff College","IA",2,-0.791178716,351,89.54081633,44.15954416,1168,13.1,58,66,10260,3597
"Buena Vista College","IA",2,0.464026633,688,80,41.4244186,2370,8.8,78,69,13306,3797
"Central College","IA",2,0.669068566,1113,86.74980514,36.02875112,1395,13.5,67,90,10938,3660
"Clarke College","IA",2,-0.500426626,340,73.91304348,49.11764706,954,11,74,71,10740,3676
"Coe College","IA",2,0.817336777,742,73.75745527,37.06199461,1332,12.7,67,86,13925,4390
"Cornell College","IA",2,0.855969528,1329,86.41092328,28.81866065,1150,12.2,64,76,15248,4323
"Dordt College","IA",2,0.279236835,562,93.04635762,58.36298932,1104,12.5,87,60,9800,2650
"Drake University","IA",2,0.701438524,2573,91.92568775,32.60785076,4048,15,77,93,13420,4770
"Graceland College","IA",2,-0.196234353,414,74.59459459,58.45410628,3277,23.6,47,61,9100,3100
"Grand View College","IA",2,-0.890258356,511,95.51401869,45.59686888,1478,12.6,32,32,9820,3360
"Grinnell College","IA",2,2.307842853,1389,68.12162825,31.10151188,1363,9.5,83,92,15688,4618
"Iowa State University","IA",1,0.150812998,7424,88.09778094,46.34967672,20391,19.2,65,88,2291,3224
"Loras College","IA",2,0.279236835,1283,78.18403413,41.07560405,1833,14.2,70,62,11200,4000
"Luther College","IA",2,1.010500531,1392,89.86442866,42.16954023,2354,13.8,77,85,13240,3560
"Teikyo Marycrest University","IA",2,-0.890258356,243,74.08536585,38.27160494,1003,12.3,69,64,9980,3640
"Morningside College","IA",2,-0.110594895,533,90.9556314,44.84052533,1178,13,56,68,10520,3678
"Mount Saint Clare College","IA",2,-0.500426626,284,87.38461538,33.45070423,452,13.6,21,37,9900,3650
"Northwestern College","IA",2,-0.110594895,811,94.30232558,45.12946979,1092,14.9,68,68,9900,3075
"Saint Ambrose University","IA",2,-0.110594895,718,80.04459309,38.44011142,1735,14.1,70,56,10450,4020
"University of Northern Iowa","IA",1,0.279236835,3379,81.53957529,54.83870968,11583,16.3,77,82,2291,2930
"University of Dubuque","IA",2,-0.346902082,558,96.875,24.55197133,793,16.5,45,98,10430,3620
"Upper Iowa University","IA",2,-0.110594895,452,68.17496229,42.47787611,2641,17.4,78,75,8840,3060
"Wartburg College","IA",2,0.525839035,1074,87.24614135,32.12290503,1400,12.4,67,91,11600,3610
"Teikyo Westmar University","IA",2,-1.280090087,306,67.84922395,40.19607843,757,12,51,46,9980,3640
"Boise State University","ID",1,-0.584313973,3080,85.10638298,61.2987013,12988,17,25,63,296.765880814704,3069
"Albertson College","ID",2,0.433120432,479,81.60136286,32.98538622,719,9.4,55,73,13500,3335
"Idaho State University","ID",1,-0.500426626,1627,81.79989945,69.88322065,9011,16.5,33,90,1655.55959667863,2980
"Lewis-Clark State College","ID",1,-0.804520653,551,55.04495504,77.676951,3226,12.1,44,77,1412,3190
"Northwest Nazarene College","ID",2,0.279236835,514,83.44155844,74.90272374,1175,14.8,58,59,9840,2820
"University of Idaho","ID",1,0.11844304,2799,89.33929141,47.76705966,8673,13.5,45,95,1548,3540
"Augustana College","IL",2,1.058900296,1658,88.23842469,29.97587455,1988,12.7,71,83,13353,4173
"Aurora University","IL",2,-0.500426626,481,90.41353383,26.4033264,1616,9.1,56,56,10250,3850
"Barat College","IL",2,-0.428678264,192,73.56321839,57.8125,719,9.7,71,77,9690,4300
"Blackburn College","IL",2,-0.500426626,336,67.2,46.42857143,448,14.3,51,76,6500,2700
"Bradley University","IL",2,1.049133282,3414,90.62914786,31.07791447,5174,14.4,85,81,10870,4440
"Concordia University","IL",2,0.279236835,403,76.32575758,46.15384615,1313,12.1,75,64,9216,4191
"DePaul University","IL",2,0.836653152,3551,73.74870197,34.55364686,9788,16.1,63,76,11214,4932
"Eastern Illinois University","IL",1,-0.110594895,4253,75.98713597,36.79755467,10006,16.2,76,71,1902,3066
"Eureka College","IL",2,-0.110594895,454,81.07142857,24.88986784,500,10.6,53,87,10955,3450
"Greenville College","IL",2,-0.110594895,387,75.88235294,50.12919897,824,14.3,60,61,10310,4530
"Illinois College","IL",2,0.253657668,787,88.03131991,33.2909784,937,15.6,52,75,8050,3850
"Illinois Institute of Technology","IL",2,0.97959433,1360,77.44874715,35.14705882,2537,12.3,56,88,14550,4620
"Illinois State University","IL",1,-0.110594895,6695,77.12245133,35.96713966,17524,21,54,84,2600,3403
"Northeastern Illinois University","IL",1,-2.059753548,1507,72.24352828,41.87126742,7489,15.1,21,78,1902,3484.11485793498
"Chicago State University","IL",1,-1.669921817,1719,48.38164931,45.20069808,7237,15.6,18,81,1848,3528.62726388622
"Illinois Wesleyan University","IL",2,1.753642405,1342,44,35.09687034,1841,12.9,83,92,14360,4090
"Judson College","IL",2,-0.110594895,228,72.84345048,60.0877193,619,10.6,56,55,9414,4554
"Kendall College","IL",2,-1.281096546,150,100,80.66666667,371,15.9,80,35,6900,4851
"Knox College","IL",2,0.97186778,845,81.25,33.84615385,991,12.7,79,95,15747,4062
"Lake Forest College","IL",2,0.421242254,638,65.16853933,42.47648903,988,10.7,77,94,16880,3970
"Lewis University","IL",2,-0.890258356,1050,90.98786828,37.61904762,3615,14.3,61,48,10560,4520
"Loyola University Chicago","IL",2,0.433120432,2959,82.67672534,29.33423454,8661,6.2,65,95,11500,5330
"MacMurray College","IL",2,-0.500426626,558,75.40540541,31.72043011,691,10.8,59,55,9620,3750
"McKendree College","IL",2,-0.500426626,555,55.38922156,21.44144144,1520,17.7,52,74,7680,3740
"Millikin University","IL",2,0.591514711,1261,87.32686981,36.16177637,1883,11.4,75,77,11910,4378
"Monmouth College","IL",2,-0.036087964,503,83.69384359,40.55666004,682,11.6,56,91,13000,4100
"National-Louis University","IL",2,-2.059753548,347,67.64132554,80.40345821,3013,18.3,71,65,9090,4500
"North Central College","IL",2,0.736208,884,78.43833185,34.84162896,2076,16.4,76,87,11718,7398
"North Park College","IL",2,-0.030113525,361,77.6344086,48.7534626,1035,13.1,74,79,12580,4345
"Northern Illinois University","IL",1,-0.110594895,7219,67.4294788,33.20404488,16805,17.3,56,78,2600,3296
"Northwestern University","IL",2,2.408288006,5200,42.31426479,36.57692308,7495,6.8,92,100,16404,5520
"Principia College","IL",2,0.452148455,179,87.31707317,72.06703911,592,9.6,90,47,12816,5344
"Quincy University","IL",2,0.288427143,707,68.97560976,42.00848656,1142,16.3,80,71,10100,4140
"Roosevelt University","IL",2,-1.280090087,367,86.96682464,59.40054496,4602,12.2,77,79,8580,5100
"Southern Illinois University at Edwardsville","IL",1,-0.500426626,2195,86.41732283,45.28473804,8613,16.5,43,81,1824,3598
"Illinois Benedictine College","IL",2,0.279236835,558,91.92751236,48.2078853,1741,11.6,75,91,10500,4348
"Saint Xavier University","IL",2,-0.890258356,647,82.42038217,45.5950541,2396,13.7,55,100,10860,4624
"University of Chicago","IL",2,2.430145299,2999,47.24322621,30.74358119,3379,5.3,90,99,18930,6380
"University of Illinois - Urbana","IL",1,1.512367239,11652,77.99718857,48.96155166,26333,17.4,81,90,2760,4574
"University of Illinois at Chicago","IL",1,-0.500426626,5727,68.30868321,47.31971364,16434,10,34,84,2520,5088
"Western Illinois University","IL",1,-0.110594895,5027,77.44569404,31.09210265,10464,17.2,55,77,1902,3193
"Wheaton College","IL",2,1.541592029,920,64.24581006,59.56521739,2256,12.7,85,83,11480,4200
"Anderson University","IN",2,-0.638399824,908,74.67105263,46.58590308,2100,12.1,59,61,10100,3520
"Ball State University","IN",1,-0.599767073,7910,84.49951928,48.65992415,18355,17.7,51,69,2864,3608
"Butler University","IN",2,0.693711974,2037,86.24047417,34.36426117,2755,10.9,83,81,13130,4650
"DePauw University","IN",2,1.309795524,1656,83.04914744,29.89130435,2019,11.1,82,94,14300,5020
"Earlham College","IN",2,1.049133282,1006,74.07952872,27.23658052,1041,10.6,78,94,15036,4056
"University of Evansville","IN",2,0.390336054,1626,77.57633588,42.68142681,2958,15.8,77,81,11800,4340
"Franklin College","IN",2,0.051015252,632,78.60696517,44.46202532,908,12.5,60,78,10390,4040
"Goshen College","IN",2,0.158539549,396,90,55.80808081,1076,9.9,72,56,9420,3730
"Grace College and Seminary","IN",2,-0.500426626,428,78.10218978,39.01869159,731,15.3,64,59,8958,3670
